Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source,Substance Name,SMILES,Data Quality,SD,Measurements
"N,N,N-trimethylanilinium chloride",N,,171.671,25,24.98124531,1.93975686,0.287747297,33.3,"Sci Data 6, 143 (2019) - G1","N,N,N-trimethylanilinium chloride",[Cl-].C[N+](C)(C)c1ccccc1,G1,0,1
"N,N,N-trimethylmethanaminium chloride",N,,109.6,25,50,9.124087592,0.960189446,100,"Sci Data 6, 143 (2019) - G1","N,N,N-trimethylmethanaminium chloride",[Cl-].C[N+](C)(C)C,G1,0,1
"N,N,N-trimethyloctadecan-1-aminium bromide",N,,392.51,25,0.009499098,0.000242032,-3.616127121,0.0095,"Sci Data 6, 143 (2019) - G1","N,N,N-trimethyloctadecan-1-aminium bromide",[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,G1,0,1
"N,N,N-trimethyloctadecan-1-aminium chloride",N,,348.059,25,0.00489976,0.000140781,-3.851456788,0.0049,"Sci Data 6, 143 (2019) - G1","N,N,N-trimethyloctadecan-1-aminium chloride",[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C,G1,0,1
"N,N-Bis(2-cyanoethyl)leucine",N,,237.303,25,1.690054401,0.072443596,-1.14,1.719108266,"Sci Data 6, 143 (2019) - G1","N,N-Bis(2-cyanoethyl)leucine",CC(C)CC(C(=O)O)N(CCC#N)CCC#N,G1,0,1
"N,N-DIBUTYLDODECANAMIDE",N,,311.554,25,3E-06,9.62915E-08,-7.016412077,3E-06,"Sci Data 6, 143 (2019) - G1","N,N-DIBUTYLDODECANAMIDE",CCCCCCCCCCCC(=O)N(CCCC)CCCC,G1,0,1
"N,N-Dimethyl-2-(phenylsulfonyl)propanamide",N,,241.312,25,3.152586037,0.134896288,-0.87,3.255209311,"Sci Data 6, 143 (2019) - G1","N,N-Dimethyl-2-(phenylsulfonyl)propanamide",CC(C(=O)N(C)C)S(=O)(=O)C1=CC=CC=C1,G1,0,1
"N,N-Dimethyl-4-nitrobenzamide",N,,194.19,25,1.03209868,0.05370318,-1.27,1.042862045,"Sci Data 6, 143 (2019) - G1","N,N-Dimethyl-4-nitrobenzamide",CN(C)C(=O)C1=CC=C(C=C1)[N+](=O)[O-],G1,0,1
"N,N-bis(2-hydroxyethyl)undec-10-enamide",N,,271.401,25,0.04697792,0.001731755,-2.761513586,0.047,"Sci Data 6, 143 (2019) - G1","N,N-bis(2-hydroxyethyl)undec-10-enamide",OCCN(CCO)C(=O)CCCCCCCCC=C,G1,0,1
"N,N-dibromobenzenesulfonamide",N,,314.986,25,0.016527968,0.000524807,-3.28,0.0165307,"Sci Data 6, 143 (2019) - G1","N,N-dibromobenzenesulfonamide",O=S(=O)(C1=CC=CC=C1)N(Br)Br,G1,0,1
"N,N-dibutyl({[(dibutylcarbamothioyl)sulfanyl]methy",N,,422.795,25,2.43E-05,5.74747E-07,-6.240523569,2.43E-05,"Sci Data 6, 143 (2019) - G1","N,N-dibutyl({[(dibutylcarbamothioyl)sulfanyl]methyl}sulfanyl)carbothioamide",CCCCN(CCCC)C(=S)SCSC(=S)N(CCCC)CCCC,G1,0,1
"N,N-dibutyloctadec-9-enamide",N,,393.7,25,0.000639996,1.6256E-05,-4.788985441,0.00064,"Sci Data 6, 143 (2019) - G1","N,N-dibutyloctadec-9-enamide",CCCCCCCC\C=C/CCCCCCCC(=O)N(CCCC)CCCC,G1,0,1
"N,N-diethyl-1-phenothiazin-10-ylpropan-2-amine",N,,312.482,25,0.220732011,0.007079458,-2.15,0.221220315,"Sci Data 6, 143 (2019) - G1","N,N-diethyl-1-phenothiazin-10-ylpropan-2-amine",CCN(CC)C(C)CN1C2=C(C=CC=C2)SC2=C1C=CC=C2,G1,0,1
"N,N-diethyl-2-(9H-[1,2,4]triazino[6,5-b]indol-3-yl",N,,301.419,25,0.024494255,0.000812831,-3.09,0.024500256,"Sci Data 6, 143 (2019) - G1","N,N-diethyl-2-(9H-[1,2,4]triazino[6,5-b]indol-3-ylsulfanyl)ethanamine",CCN(CC)CCSC1=NC2=C(N=N1)NC1=C2C=CC=C1,G1,0,1
"N,N-diethyl-4-[(E)-2-phenyldiazen-1-yl]aniline",N,,253.349,25,2.64E-05,1.04204E-06,-5.982115268,2.64E-05,"Sci Data 6, 143 (2019) - G1","N,N-diethyl-4-[(E)-2-phenyldiazen-1-yl]aniline",CCN(CC)c1ccc(cc1)N=Nc2ccccc2,G1,0,1
"N,N-diethylethanaminium bromide",N,,182.105,25,41.75888177,3.937288927,0.595197285,71.7,"Sci Data 6, 143 (2019) - G1","N,N-diethylethanaminium bromide",[Br-].CC[NH+](CC)CC,G1,0,1
"N,N-diisobutylformamide",N,,157.257,25,1.283316881,0.082667226,-1.082666634,1.3,"Sci Data 6, 143 (2019) - G1","N,N-diisobutylformamide",CC(C)CN(CC(C)C)C=O,G1,0,1
"N,N-dimethyl-1,3-dihydrobenzo[de]isoquinoline-2-ca",N,,239.322,25,1.666042747,0.070794578,-1.15,1.69427001,"Sci Data 6, 143 (2019) - G1","N,N-dimethyl-1,3-dihydrobenzo[de]isoquinoline-2-carboximidamide",CN=C(NC)N1CC2=CC=CC3=CC=CC(=C32)C1,G1,0,1
"N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)etha",N,,270.376,25,0.040906323,0.001513561,-2.82,0.040923064,"Sci Data 6, 143 (2019) - G1","N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)ethanamine",CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,G1,0,1
"N,N-dimethyl-2-[6-methyl-2-(4-methylphenyl)imidazo",N,,307.397,25,1.517259103,0.050118723,-1.3,1.540634521,"Sci Data 6, 143 (2019) - G1","N,N-dimethyl-2-[6-methyl-2-(4-methylphenyl)imidazo[3,2-a]pyridin-3-yl]acetamide",CC1=CC=C(C2=C(CC(=O)N(C)C)N3C=C(C)C=CC3=N2)C=C1,G1,0,1
"N,N-dimethyl-3,3-diphenyloxolan-2-iminium bromide",N,,346.268,25,0.102894019,0.002974575,-2.526575134,0.103,"Sci Data 6, 143 (2019) - G1","N,N-dimethyl-3,3-diphenyloxolan-2-iminium bromide",[Br-].C[N+](C)=C1OCCC1(c2ccccc2)c3ccccc3,G1,0,1
"N,N-dimethyl-3-[1-(phenylmethyl)cycloheptyl]oxypro",N,,289.463,25,0.689585078,0.023988329,-1.62,0.694373373,"Sci Data 6, 143 (2019) - G1","N,N-dimethyl-3-[1-(phenylmethyl)cycloheptyl]oxypropan-1-amine",CN(C)CCCOC1(CC2=CC=CC=C2)CCCCCC1,G1,0,1
"N,N-dimethyl-3-oxobutanamide",N,,129.159,25,50,7.742395032,0.888875326,100,"Sci Data 6, 143 (2019) - G1","N,N-dimethyl-3-oxobutanamide",CN(C)C(=O)CC(C)=O,G1,0,1
"N,N-dimethyl-N'-(2,2,6,6-tetramethylpiperidin-4-yl",N,,241.423,25,33.33333333,2.071053711,0.316191362,50,"Sci Data 6, 143 (2019) - G1","N,N-dimethyl-N'-(2,2,6,6-tetramethylpiperidin-4-yl)propane-1,3-diamine",CN(C)CCCNC1CC(C)(C)NC(C)(C)C1,G1,0,1
"N,N-dimethyl-N-tetradecyltetradecan-1-aminium chlo",N,,474.302,25,0.019996001,0.000421672,-3.37502496,0.02,"Sci Data 6, 143 (2019) - G1","N,N-dimethyl-N-tetradecyltetradecan-1-aminium chloride",[Cl-].CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC,G1,0,1
"N,N-dimethyl[(dimethylcarbamothioyl)sulfanyl]carbo",N,,208.377,25,0.030790517,0.00147809,-2.830299065,0.0308,"Sci Data 6, 143 (2019) - G1","N,N-dimethyl[(dimethylcarbamothioyl)sulfanyl]carbothioamide",CN(C)C(=S)SC(=S)N(C)C,G1,0,1
"N,N-dimethylcyclohexanamine",N,,127.231,25,1.322281429,0.105320244,-0.977488142,1.34,"Sci Data 6, 143 (2019) - G1","N,N-dimethylcyclohexanamine",CN(C)C1CCCCC1,G1,0,1
"N,N-dimethyldecanamide",N,,199.338,25,0.033988444,0.001705646,-2.76811118,0.034,"Sci Data 6, 143 (2019) - G1","N,N-dimethyldecanamide",CCCCCCCCCC(=O)N(C)C,G1,0,1
"N,N-dimethyldodecanamide",N,,227.392,25,0.002801921,0.000123223,-3.909307051,0.002802,"Sci Data 6, 143 (2019) - G1","N,N-dimethyldodecanamide",CCCCCCCCCCCC(=O)N(C)C,G1,0,1
"N,N-dimethylformamide",N,,73.095,25,50,13.68082632,1.13611233,100,"Sci Data 6, 143 (2019) - G1","N,N-dimethylformamide",CN(C)C=O,G1,0,1
"N,N-dimethylimidodicarbonimidic diamide hydrochlor",N,,165.628,25,23.07692308,1.811287946,0.257987497,30,"Sci Data 6, 143 (2019) - G1","N,N-dimethylimidodicarbonimidic diamide hydrochloride",[H+].[Cl-].CN(C)C(=N)N=C(N)N,G1,0,1
"N,N-dimethylmethanaminium chloride",N,,95.573,25,43.11717861,7.931110251,0.899333987,75.80000001,"Sci Data 6, 143 (2019) - G1","N,N-dimethylmethanaminium chloride",[H+].[Cl-].CN(C)C,G1,0,1
"N,N-dimethylnonanamide",N,,185.311,25,0.132823345,0.007177124,-2.144049559,0.133,"Sci Data 6, 143 (2019) - G1","N,N-dimethylnonanamide",CCCCCCCCC(=O)N(C)C,G1,0,1
"N,N-dimethyloctanamide",N,,171.284,25,0.428158917,0.025104505,-1.600248341,0.43,"Sci Data 6, 143 (2019) - G1","N,N-dimethyloctanamide",CCCCCCCC(=O)N(C)C,G1,0,1
"N,N-dimethyltetradecan-1-amine",N,,241.463,25,0.002799922,0.00011596,-3.935692561,0.0028,"Sci Data 6, 143 (2019) - G1","N,N-dimethyltetradecan-1-amine",CCCCCCCCCCCCCCN(C)C,G1,0,1
"N-(1,4-dimethylpentyl)-N'-phenylbenzene-1,4-diamin",N,,282.431,25,6.7E-05,2.37226E-06,-5.624837561,6.7E-05,"Sci Data 6, 143 (2019) - G1","N-(1,4-dimethylpentyl)-N'-phenylbenzene-1,4-diamine",CC(C)CCC(C)Nc1ccc(Nc2ccccc2)cc1,G1,0,1
N-(1-benzylpiperidin-4-yl)-N-phenylpropanamide,N,,322.452,25,0.012398463,0.000384553,-3.41504339,0.0124,"Sci Data 6, 143 (2019) - G1",N-(1-benzylpiperidin-4-yl)-N-phenylpropanamide,CCC(=O)N(C1CCN(CC1)Cc2ccccc2)c3ccccc3,G1,0,1
N-(1-cyanoethyl)formamide,N,,98.105,25,50,10.19316039,1.008308858,100,"Sci Data 6, 143 (2019) - G1",N-(1-cyanoethyl)formamide,CC(NC=O)C#N,G1,0,1
"N-(10-benzamido-6,13-diacetamido-2,9-diethoxy-5,12",N,,726.746,25,1E-06,1.376E-08,-7.86138265,1E-06,"Sci Data 6, 143 (2019) - G1","N-(10-benzamido-6,13-diacetamido-2,9-diethoxy-5,12-dioxa-7,14-diazapentacen-3-yl)benzamide",CCOc1cc2N=C3C(=C4Oc5cc(NC(=O)c6ccccc6)c(OCC)cc5N=C4C(=C3Oc2cc1NC(=O)c7ccccc7)NC(C)=O)NC(C)=O,G1,0,1
"N-(2,2,6,6-tetramethylpiperidin-4-yl)-N-{6-[N-(2,2",N,,450.712,25,1.283316881,0.028843252,-1.539955769,1.3,"Sci Data 6, 143 (2019) - G1","N-(2,2,6,6-tetramethylpiperidin-4-yl)-N-{6-[N-(2,2,6,6-tetramethylpiperidin-4-yl)formamido]hexyl}formamide",CC1(C)CC(CC(C)(C)N1)N(CCCCCCN(C=O)C2CC(C)(C)NC(C)(C)C2)C=O,G1,0,1
"N-(2,4,4-trimethylpentan-2-yl)prop-2-enamide",N,,183.295,25,0.100898093,0.005510243,-2.258829245,0.101,"Sci Data 6, 143 (2019) - G1","N-(2,4,4-trimethylpentan-2-yl)prop-2-enamide",CC(C)(C)CC(C)(C)NC(=O)C=C,G1,0,1
"N-(2,4-dimethylphenyl)-3-oxobutanamide",N,,205.257,25,0.209559924,0.010231076,-1.990078682,0.21,"Sci Data 6, 143 (2019) - G1","N-(2,4-dimethylphenyl)-3-oxobutanamide",CC(=O)CC(=O)Nc1ccc(C)cc1C,G1,0,1
"N-(2,5-dichloro-4-{4-[(E)-2-(2,5-dichlorophenyl)di",N,,863.372,25,6.1E-07,7.06532E-09,-8.150868125,6.1E-07,"Sci Data 6, 143 (2019) - G1","N-(2,5-dichloro-4-{4-[(E)-2-(2,5-dichlorophenyl)diazen-1-yl]-3-hydroxynaphthalene-2-amido}phenyl)-4-[(E)-2-(2,5-dichlorophenyl)diazen-1-yl]-3-hydroxynaphthalene-2-carboxamide",Clc1ccc(Cl)c(N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4cc(Cl)c(NC(=O)C5=Cc6ccccc6C(=N/Nc7cc(Cl)ccc7Cl)\C5=O)cc4Cl)c1,G1,0,1
"N-(2,5-dimethoxyphenyl)acetamide",N,,195.218,25,0.497512438,0.025612392,-1.591549855,0.5,"Sci Data 6, 143 (2019) - G1","N-(2,5-dimethoxyphenyl)acetamide",COc1ccc(OC)c(NC(C)=O)c1,G1,0,1
"N-(2,6-dimethylphenyl)-2-piperazine-1,4-diium-1-yl",N,,249.358,25,40.89834516,2.775126525,0.443282789,69.2,"Sci Data 6, 143 (2019) - G1","N-(2,6-dimethylphenyl)-2-piperazine-1,4-diium-1-ylacetamide",Cc1cccc(C)c1NC(=O)C[NH+]2CC[NH2+]CC2,G1,0,1
N-(2-Bromo-4-methylpentanoyl)alanylalanine,N,Br,337.214,25,1.237366232,0.037153523,-1.43,1.252868807,"Sci Data 6, 143 (2019) - G1",N-(2-Bromo-4-methylpentanoyl)alanylalanine,CC(C)CC(Br)C(=O)NC(C)C(=O)NC(C)C(=O)O,G1,0,1
N-(2-ethoxyphenyl)-3-hydroxynaphthalene-2-carboxam,N,,307.349,25,0.0002,6.50726E-06,-5.186601809,0.0002,"Sci Data 6, 143 (2019) - G1",N-(2-ethoxyphenyl)-3-hydroxynaphthalene-2-carboxamide,CCOc1ccccc1NC(=O)c2cc3ccccc3cc2O,G1,0,1
N-(2-ethoxyphenyl)-N'-(2-ethylphenyl)ethanediamide,N,,312.369,25,3E-05,9.60403E-07,-6.017546673,3E-05,"Sci Data 6, 143 (2019) - G1",N-(2-ethoxyphenyl)-N'-(2-ethylphenyl)ethanediamide,CCOc1ccccc1NC(=O)C(=O)Nc2ccccc2CC,G1,0,1
N-(2-ethoxyphenyl)-N'-[4-(10-methylundecyl)phenyl],N,,452.639,25,3.6E-05,7.95336E-07,-6.09944947,3.6E-05,"Sci Data 6, 143 (2019) - G1",N-(2-ethoxyphenyl)-N'-[4-(10-methylundecyl)phenyl]ethanediamide,CCOc1ccccc1NC(=O)C(=O)Nc2ccc(CCCCCCCCCC(C)C)cc2,G1,0,1
N-(2-ethylhexyl)-7-methyloctanamide,N,,269.473,25,5E-05,1.85547E-06,-5.731545253,5E-05,"Sci Data 6, 143 (2019) - G1",N-(2-ethylhexyl)-7-methyloctanamide,CCCCC(CC)CNC(=O)CCCCCC(C)C,G1,0,1
N-(2-hydroxyethyl)octadecanamide,N,,327.553,25,9.99999E-05,3.05294E-06,-5.515281581,0.0001,"Sci Data 6, 143 (2019) - G1",N-(2-hydroxyethyl)octadecanamide,CCCCCCCCCCCCCCCCCC(=O)NCCO,G1,0,1
N-(2-hydroxyoxolan-3-yl)-4-methyl-2-(phenylcarbamo,N,,351.472,25,0.149706301,0.004265795,-2.37,0.149930757,"Sci Data 6, 143 (2019) - G1",N-(2-hydroxyoxolan-3-yl)-4-methyl-2-(phenylcarbamothioylamino)pentanamide,CC(C)CC(NC(=S)NC1=CC=CC=C1)C(=O)NC1CCOC1O,G1,0,1
N-(2-methoxy-5-methylphenyl)acetamide,N,,179.219,25,0.209559924,0.011717508,-1.931164755,0.21,"Sci Data 6, 143 (2019) - G1",N-(2-methoxy-5-methylphenyl)acetamide,COc1ccc(C)cc1NC(C)=O,G1,0,1
N-(2-methoxyphenyl)-3-oxobutanamide,N,,207.229,25,0.32295363,0.015634877,-1.805905521,0.324,"Sci Data 6, 143 (2019) - G1",N-(2-methoxyphenyl)-3-oxobutanamide,COc1ccccc1NC(=O)CC(C)=O,G1,0,1
"N-(2-oxo-2,3-dihydropyrimidin-4-yl)benzamide",N,,215.212,25,0.000149,6.92341E-06,-5.159680215,0.000149,"Sci Data 6, 143 (2019) - G1","N-(2-oxo-2,3-dihydropyrimidin-4-yl)benzamide",O=C1NC(=CC=N1)NC(=O)c2ccccc2,G1,0,1
"N-(2-sulfamoyl-1,3-benzothiazol-6-yl)acetamide",N,,271.323,25,0.018767443,0.000691831,-3.16,0.018770965,"Sci Data 6, 143 (2019) - G1","N-(2-sulfamoyl-1,3-benzothiazol-6-yl)acetamide",CC(=O)NC1=CC2=C(C=C1)N=C(S(N)(=O)=O)S2,G1,0,1
"N-(3-aminopropyl)-N'-octadec-9-en-1-ylpropane-1,3-",N,,381.693,25,0.007299467,0.000191253,-3.718391335,0.0073,"Sci Data 6, 143 (2019) - G1","N-(3-aminopropyl)-N'-octadec-9-en-1-ylpropane-1,3-diamine",CCCCCCCC\C=C/CCCCCCCCNCCCNCCCN,G1,0,1
"N-(3-bromophenyl)-1-methylpyrazolo[4,5-g]quinazoli",N,,354.211,25,0.011727653,0.000331131,-3.48,0.011729029,"Sci Data 6, 143 (2019) - G1","N-(3-bromophenyl)-1-methylpyrazolo[4,5-g]quinazolin-5-amine",CN1N=CC2=C1C=C1N=CN=C(NC3=CC(Br)=CC=C3)C1=C2,G1,0,1
"N-(3-bromophenyl)-1H-pyrimido[5,6-f]indazol-5-amin",N,,340.184,25,0.003729904,0.000109648,-3.96,0.003730043,"Sci Data 6, 143 (2019) - G1","N-(3-bromophenyl)-1H-pyrimido[5,6-f]indazol-5-amine",BrC1=CC=CC(NC2=NC=NC3=CC4=C(C=NN4)C=C32)=C1,G1,0,1
"N-(3-bromophenyl)-7-(methoxymethyl)-7,8-dihydro-[1",N,,402.248,25,0.024231966,0.00060256,-3.22,0.024237839,"Sci Data 6, 143 (2019) - G1","N-(3-bromophenyl)-7-(methoxymethyl)-7,8-dihydro-[1,4]dioxino[3,2-g]quinazolin-4-amine",COCC1COC2=C(C=C3C(=C2)N=CN=C3NC2=CC(Br)=CC=C2)O1,G1,0,1
"N-(3-bromophenyl)-8-methylpyrrolo[3,2-g]quinazolin",N,,353.223,25,0.017297122,0.000489779,-3.31,0.017300114,"Sci Data 6, 143 (2019) - G1","N-(3-bromophenyl)-8-methylpyrrolo[3,2-g]quinazolin-4-amine",CN1C=CC2=C1C=C1N=CN=C(NC3=CC(Br)=CC=C3)C1=C2,G1,0,1
"N-(3-bromophenyl)-8H-pyrrolo[3,2-g]quinazolin-4-am",N,,339.196,25,0.051313048,0.001513561,-2.82,0.051339392,"Sci Data 6, 143 (2019) - G1","N-(3-bromophenyl)-8H-pyrrolo[3,2-g]quinazolin-4-amine",BrC1=CC=CC(NC2=NC=NC3=CC4=C(C=CN4)C=C32)=C1,G1,0,1
"N-(3-chloro-4-{4-[(E)-2-(2,5-dichlorophenyl)diazen",N,,828.927,25,1.12E-06,1.35114E-08,-7.869298263,1.12E-06,"Sci Data 6, 143 (2019) - G1","N-(3-chloro-4-{4-[(E)-2-(2,5-dichlorophenyl)diazen-1-yl]-3-hydroxynaphthalene-2-amido}phenyl)-4-[(E)-2-(2,5-dichlorophenyl)diazen-1-yl]-3-hydroxynaphthalene-2-carboxamide",Clc1ccc(Cl)c(N\N=C2\C(=O)C(=Cc3ccccc23)C(=O)Nc4ccc(NC(=O)C5=Cc6ccccc6C(=N/Nc7cc(Cl)ccc7Cl)\C5=O)c(Cl)c4)c1,G1,0,1
"N-(3-iodophenyl)-7-(methoxymethyl)-7,8-dihydro-[1,",N,,449.248,25,0.013565232,0.000301995,-3.52,0.013567073,"Sci Data 6, 143 (2019) - G1","N-(3-iodophenyl)-7-(methoxymethyl)-7,8-dihydro-[1,4]dioxino[3,2-g]quinazolin-4-amine",COCC1COC2=C(C=C3C(=C2)N=CN=C3NC2=CC(I)=CC=C2)O1,G1,0,1
N-(3-methylphenyl)-4-{4-[(3-methylphenyl)(phenyl)a,N,,516.688,25,2E-05,3.87081E-07,-6.41219838,2E-05,"Sci Data 6, 143 (2019) - G1",N-(3-methylphenyl)-4-{4-[(3-methylphenyl)(phenyl)amino]phenyl}-N-phenylaniline,Cc1cccc(c1)N(c2ccccc2)c3ccc(cc3)c4ccc(cc4)N(c5ccccc5)c6cccc(C)c6,G1,0,1
N-(3-oxo-1H-2-benzofuran-5-yl)acetamide,N,,191.186,25,0.0480007,0.002511886,-2.6,0.048023752,"Sci Data 6, 143 (2019) - G1",N-(3-oxo-1H-2-benzofuran-5-yl)acetamide,CC(=O)NC1=CC2=C(C=C1)COC2=O,G1,0,1
N-(4-Chlorophenyl)-n-hydroxy-4-methylbenzamide,N,,261.708,25,0.000994976,3.80189E-05,-4.42,0.000994986,"Sci Data 6, 143 (2019) - G1",N-(4-Chlorophenyl)-n-hydroxy-4-methylbenzamide,CC1=CC=C(C(=O)N(O)C2=CC=C(Cl)C=C2)C=C1,G1,0,1
N-(4-Chlorophenyl)-n-hydroxynaphthalene-2-carboxam,N,,297.741,25,0.000100888,3.38844E-06,-5.47,0.000100888,"Sci Data 6, 143 (2019) - G1",N-(4-Chlorophenyl)-n-hydroxynaphthalene-2-carboxamide,O=C(C1=CC2=C(C=CC=C2)C=C1)N(O)C1=CC=C(Cl)C=C1,G1,0,1
N-(4-acetamidophenyl)-3-hydroxy-2-naphthamide,N,,320.348,25,0.00018,5.61889E-06,-5.250349512,0.00018,"Sci Data 6, 143 (2019) - G1",N-(4-acetamidophenyl)-3-hydroxy-2-naphthamide,CC(=O)Nc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,G1,0,1
N-(4-acetamidophenyl)-4-[(5-carbamoyl-2-chlorophen,N,,501.93,25,2.49E-06,4.96085E-08,-7.304443807,2.49E-06,"Sci Data 6, 143 (2019) - G1",N-(4-acetamidophenyl)-4-[(5-carbamoyl-2-chlorophenyl)diazenyl]-3-hydroxy-2-naphthamide,CC(=O)Nc1ccc(NC(=O)C2=Cc3ccccc3C(=N/Nc4cc(ccc4Cl)C(N)=O)/C2=O)cc1,G1,0,1
"N-(4-amino-2,5-diethoxyphenyl)benzamide",N,,300.358,25,0.117860924,0.003928645,-2.405757197,0.118,"Sci Data 6, 143 (2019) - G1","N-(4-amino-2,5-diethoxyphenyl)benzamide",CCOc1cc(NC(=O)c2ccccc2)c(OCC)cc1N,G1,0,1
"N-(4-amino-3-methoxy-9,10-dioxo-9,10-dihydroanthra",N,,408.435,25,0.179676582,0.004407066,-2.355850446,0.18,"Sci Data 6, 143 (2019) - G1","N-(4-amino-3-methoxy-9,10-dioxo-9,10-dihydroanthracen-1-yl)benzenesulfonamide",COc1cc(N[S](=O)(=O)c2ccccc2)c3C(=O)c4ccccc4C(=O)c3c1N,G1,0,1
"N-(4-aminophenyl)-1,3-dihydrobenzo[de]isoquinoline",N,,302.381,25,0.445262817,0.014791084,-1.83,0.447254274,"Sci Data 6, 143 (2019) - G1","N-(4-aminophenyl)-1,3-dihydrobenzo[de]isoquinoline-2-carboximidamide",NC1=CC=C(N=C(N)N2CC3=CC=CC4=CC=CC(=C43)C2)C=C1,G1,0,1
"N-(4-carbamoylphenyl)-4-[(E)-2-{2-oxo-1-[(2-oxo-2,",N,,499.487,25,1.061E-05,2.12418E-07,-6.672808806,1.061E-05,"Sci Data 6, 143 (2019) - G1","N-(4-carbamoylphenyl)-4-[(E)-2-{2-oxo-1-[(2-oxo-2,3-dihydro-1H-1,3-benzodiazol-5-yl)carbamoyl]propyl}diazen-1-yl]benzamide",CC(=O)C(N=Nc1ccc(cc1)C(=O)Nc2ccc(cc2)C(N)=O)C(=O)Nc3ccc4NC(=O)Nc4c3,G1,0,1
N-(4-carbamoylphenyl)-4-methoxy-3-nitrobenzamide,N,,315.285,25,0.000699995,2.22021E-05,-4.653605269,0.0007,"Sci Data 6, 143 (2019) - G1",N-(4-carbamoylphenyl)-4-methoxy-3-nitrobenzamide,COc1ccc(cc1[N+]([O-])=O)C(=O)Nc2ccc(cc2)C(N)=O,G1,0,1
N-(4-carbamoylphenyl)-4-nitrobenzamide,N,,285.259,25,0.000329999,1.15684E-05,-4.936725416,0.00033,"Sci Data 6, 143 (2019) - G1",N-(4-carbamoylphenyl)-4-nitrobenzamide,NC(=O)c1ccc(NC(=O)c2ccc(cc2)[N+]([O-])=O)cc1,G1,0,1
"N-(4-chloro-2,5-dimethoxyphenyl)-2-[(E)-2-(2-chlor",N,,818.498,25,8.1E-07,9.89618E-09,-8.004532604,8.1E-07,"Sci Data 6, 143 (2019) - G1","N-(4-chloro-2,5-dimethoxyphenyl)-2-[(E)-2-(2-chloro-4-{3-chloro-4-[(E)-2-{1-[(4-chloro-2,5-dimethoxyphenyl)carbamoyl]-2-oxopropyl}diazen-1-yl]phenyl}phenyl)diazen-1-yl]-3-oxobutanamide",COc1cc(NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)C(C)=O)c(OC)cc1Cl,G1,0,1
"N-(4-chloro-2,5-dimethoxyphenyl)-3-hydroxy-4-[(E)-",N,,611.054,25,8.7E-07,1.42377E-08,-7.846560339,8.7E-07,"Sci Data 6, 143 (2019) - G1","N-(4-chloro-2,5-dimethoxyphenyl)-3-hydroxy-4-[(E)-2-[2-methoxy-5-(phenylcarbamoyl)phenyl]diazen-1-yl]naphthalene-2-carboxamide",COc1ccc(cc1N\N=C2/C(=O)C(=Cc3ccccc23)C(=O)Nc4cc(OC)c(Cl)cc4OC)C(=O)Nc5ccccc5,G1,0,1
"N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutanamide",N,,271.7,25,0.02849188,0.001048951,-2.979244778,0.0285,"Sci Data 6, 143 (2019) - G1","N-(4-chloro-2,5-dimethoxyphenyl)-3-oxobutanamide",COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,G1,0,1
N-(4-chlorophenyl)-2-[(4-methyl-2-nitrophenyl)diaz,N,,374.784,25,9.3E-07,2.48143E-08,-7.605298094,9.3E-07,"Sci Data 6, 143 (2019) - G1",N-(4-chlorophenyl)-2-[(4-methyl-2-nitrophenyl)diazenyl]-3-oxobutanamide,CC(=O)C(N=Nc1ccc(C)cc1[N+]([O-])=O)C(=O)Nc2ccc(Cl)cc2,G1,0,1
N-(4-chlorophenyl)-3-hydroxy-2-naphthamide,N,,297.741,25,9.99999E-05,3.35862E-06,-5.473838643,1E-04,"Sci Data 6, 143 (2019) - G1",N-(4-chlorophenyl)-3-hydroxy-2-naphthamide,Oc1cc2ccccc2cc1C(=O)Nc3ccc(Cl)cc3,G1,0,1
N-(4-ethoxyphenyl)-3-hydroxy-2-naphthamide,N,,307.349,25,0.00015,4.88045E-06,-5.311540545,0.00015,"Sci Data 6, 143 (2019) - G1",N-(4-ethoxyphenyl)-3-hydroxy-2-naphthamide,CCOc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,G1,0,1
N-(4-fluorophenyl)-2-hydroxy-N-propan-2-ylacetamid,N,,211.236,25,1.380670612,0.066276582,-1.178639899,1.4,"Sci Data 6, 143 (2019) - G1",N-(4-fluorophenyl)-2-hydroxy-N-propan-2-ylacetamide,CC(C)N(C(=O)CO)c1ccc(F)cc1,G1,0,1
